business,category,sales,date
RetailCorp,furniture,238.7,17-09-2028
RetailCorp,food,111,18-05-2015
RetailCorp,sports,124.2,31-08-2015
RetailCorp,electronics,196.6,26-03-2031
RetailCorp,toys,238.4,05-02-2015
RetailCorp,electronics,252,15-06-2018
RetailCorp,electronics,177.1,09-07-2032
RetailCorp,clothing,282.6,06-12-2032
RetailCorp,food,181.8,11-10-2030
RetailCorp,food,145.5,25-12-2024
RetailCorp,online,193.7,05-11-2016
RetailCorp,electronics,232,03-12-2028
RetailCorp,furniture,209.5,22-11-2029
RetailCorp,sports,115,25-01-2020
RetailCorp,beauty,221.7,07-10-2016
RetailCorp,food,193.9,15-05-2030
RetailCorp,stationery,231.9,20-06-2028
RetailCorp,furniture,182.2,27-06-2028
RetailCorp,online,136.8,02-04-2030
RetailCorp,toys,216.8,02-05-2032
RetailCorp,beauty,157,20-10-2031
RetailCorp,clothing,209.8,30-01-2028
RetailCorp,clothing,169.7,01-04-2033
RetailCorp,toys,221.9,09-05-2030
RetailCorp,toys,165.8,03-02-2024
RetailCorp,food,220.1,05-02-2029
RetailCorp,beauty,204.8,18-12-2017
RetailCorp,clothing,165.5,09-02-2026
RetailCorp,stationery,138.9,23-07-2031
RetailCorp,sports,219.7,22-02-2021
RetailCorp,stationery,199.1,11-12-2024
RetailCorp,online,141.7,11-11-2028
RetailCorp,beauty,185,18-12-2027
RetailCorp,stationery,241.1,05-10-2022
RetailCorp,sports,203.2,03-06-2029
RetailCorp,toys,240.5,02-09-2022
RetailCorp,stationery,202,07-03-2021
RetailCorp,electronics,152.8,17-10-2026
RetailCorp,stationery,178.4,18-09-2021
RetailCorp,toys,257.3,14-06-2019
RetailCorp,beauty,210.8,25-09-2016
RetailCorp,food,243.9,08-12-2023
RetailCorp,stationery,192.9,19-04-2030
RetailCorp,stationery,225.7,03-09-2019
RetailCorp,sports,177.9,25-12-2028
RetailCorp,sports,139.7,03-11-2019
RetailCorp,stationery,142.6,26-03-2033
RetailCorp,online,119.1,19-06-2027
RetailCorp,electronics,243.9,09-08-2026
RetailCorp,toys,194.5,21-09-2025
RetailCorp,electronics,240.5,26-05-2025
RetailCorp,food,207.5,04-04-2032
RetailCorp,beauty,178.1,09-10-2025
RetailCorp,clothing,242.4,21-04-2026
RetailCorp,beauty,165.6,14-05-2026
RetailCorp,clothing,238.5,01-01-2024
RetailCorp,toys,251.5,06-03-2016
RetailCorp,online,170.6,23-09-2032
RetailCorp,food,241.9,25-02-2017
RetailCorp,electronics,215.4,30-01-2017
RetailCorp,toys,219.1,16-09-2031
RetailCorp,toys,157.4,13-07-2017
RetailCorp,food,244.7,03-09-2025
RetailCorp,clothing,158.5,12-06-2024
RetailCorp,sports,197.2,14-10-2031
RetailCorp,beauty,173.9,15-01-2020
RetailCorp,beauty,202.6,19-08-2032
RetailCorp,electronics,208.2,07-12-2016
RetailCorp,beauty,122.1,02-12-2021
RetailCorp,electronics,175.6,27-03-2028
RetailCorp,stationery,209.4,01-08-2029
RetailCorp,clothing,197.2,05-08-2026
RetailCorp,stationery,197,07-05-2031
RetailCorp,toys,263.8,22-07-2025
RetailCorp,stationery,219.3,25-04-2019
RetailCorp,toys,206.9,15-09-2017
RetailCorp,furniture,206.2,05-07-2027
RetailCorp,furniture,120.5,02-02-2017
RetailCorp,beauty,216.8,13-01-2024
RetailCorp,electronics,129.4,08-12-2024
RetailCorp,toys,197.1,23-09-2027
RetailCorp,sports,234.2,03-04-2017
RetailCorp,electronics,241.3,06-08-2029
RetailCorp,sports,151.9,12-07-2027
RetailCorp,electronics,222,31-01-2033
RetailCorp,online,234.6,21-05-2015
RetailCorp,online,189.4,10-08-2019
RetailCorp,online,107.7,05-09-2030
RetailCorp,toys,227.7,27-12-2024
RetailCorp,electronics,172.5,31-07-2028
RetailCorp,beauty,193.4,15-06-2017
RetailCorp,food,139.7,03-01-2025
RetailCorp,furniture,174,10-05-2022
RetailCorp,online,211.2,06-01-2027
RetailCorp,electronics,182.9,19-04-2015
RetailCorp,beauty,264.6,09-04-2029
RetailCorp,food,286.2,30-03-2028
RetailCorp,food,160.8,17-12-2016
RetailCorp,beauty,208.7,08-12-2021
RetailCorp,stationery,196,13-04-2029
RetailCorp,electronics,236.8,22-01-2032
RetailCorp,food,129.6,14-05-2033
RetailCorp,sports,177.8,05-08-2025
RetailCorp,beauty,169.1,23-06-2033
RetailCorp,toys,226.3,01-04-2027
RetailCorp,food,93.1,01-10-2017
RetailCorp,toys,273.6,21-05-2029
RetailCorp,sports,234.3,01-06-2016
RetailCorp,sports,315.3,03-05-2030
RetailCorp,food,236.7,28-02-2023
RetailCorp,beauty,188.3,12-11-2029
RetailCorp,toys,166,29-06-2027
RetailCorp,beauty,229.7,26-02-2018
RetailCorp,clothing,161.8,07-07-2031
RetailCorp,clothing,168.3,21-05-2024
RetailCorp,beauty,230.5,08-10-2033
RetailCorp,sports,162.4,06-03-2023
RetailCorp,clothing,263.8,04-02-2016
RetailCorp,stationery,171.2,26-01-2032
RetailCorp,toys,87.2,18-02-2028
RetailCorp,toys,179.5,25-09-2025
RetailCorp,food,306.4,15-12-2030
RetailCorp,toys,222.6,12-01-2021
RetailCorp,toys,136.5,30-03-2033
RetailCorp,toys,131.9,05-12-2022
RetailCorp,food,237.5,05-02-2017
RetailCorp,toys,314.1,06-04-2032
RetailCorp,sports,187.2,11-12-2017
RetailCorp,electronics,226,18-08-2027
RetailCorp,food,208.6,19-08-2021
RetailCorp,clothing,274.5,20-12-2018
RetailCorp,beauty,177.9,15-12-2015
RetailCorp,online,253.5,26-04-2029
RetailCorp,clothing,319.3,07-03-2016
RetailCorp,sports,216,15-07-2031
RetailCorp,beauty,204.6,05-01-2030
RetailCorp,clothing,218.4,05-03-2033
RetailCorp,toys,237.7,20-04-2019
RetailCorp,furniture,199.1,14-05-2018
RetailCorp,sports,249.9,03-02-2028
RetailCorp,stationery,230.1,21-10-2017
RetailCorp,toys,260.2,15-01-2016
RetailCorp,clothing,167.4,30-10-2021
RetailCorp,electronics,217.2,13-10-2018
RetailCorp,beauty,131.1,14-08-2016
RetailCorp,food,89.2,24-12-2033
RetailCorp,food,102.4,07-06-2020
RetailCorp,clothing,252.7,13-03-2022
RetailCorp,sports,167,30-12-2023
RetailCorp,stationery,255.5,01-05-2020
RetailCorp,online,214.7,28-09-2016
RetailCorp,stationery,172.8,20-06-2033
RetailCorp,stationery,299.3,15-05-2028
RetailCorp,sports,233,15-06-2015
RetailCorp,stationery,205.8,10-05-2018
RetailCorp,online,313.8,20-08-2028
RetailCorp,electronics,299.6,27-04-2022
RetailCorp,furniture,196.6,11-06-2030
RetailCorp,electronics,230.5,08-06-2032
RetailCorp,sports,182.8,05-01-2029
RetailCorp,online,227.7,15-07-2017
RetailCorp,clothing,116.8,30-07-2033
RetailCorp,clothing,276.4,09-08-2021
RetailCorp,electronics,164.6,16-11-2021
RetailCorp,electronics,223.3,07-07-2019
RetailCorp,sports,176.7,16-10-2029
RetailCorp,stationery,207.9,16-05-2026
RetailCorp,electronics,271,11-10-2025
RetailCorp,clothing,235,06-09-2027
RetailCorp,beauty,231.9,22-02-2015
RetailCorp,beauty,128.7,29-11-2023
RetailCorp,sports,208.5,04-08-2018
RetailCorp,beauty,197.8,17-04-2020
RetailCorp,toys,208.9,25-05-2025
RetailCorp,clothing,271.2,26-10-2024
RetailCorp,beauty,115.5,04-11-2016
RetailCorp,stationery,193.7,10-02-2023
RetailCorp,food,198.4,19-01-2024
RetailCorp,electronics,152.4,31-03-2020
RetailCorp,stationery,138.1,02-06-2029
RetailCorp,clothing,255.5,10-02-2015
RetailCorp,food,206.1,18-10-2030
RetailCorp,food,185.6,04-02-2024
RetailCorp,food,120.9,25-10-2026
RetailCorp,food,259.7,02-08-2017
RetailCorp,toys,286.7,27-01-2023
RetailCorp,toys,180.8,02-07-2030
RetailCorp,electronics,192.6,14-04-2019
RetailCorp,sports,187.4,25-08-2017
RetailCorp,clothing,203.7,01-09-2029
RetailCorp,electronics,205.9,12-10-2019
RetailCorp,food,158,03-12-2029
RetailCorp,sports,205.4,24-09-2032
RetailCorp,sports,235.1,14-03-2023
RetailCorp,sports,186.9,27-04-2032
RetailCorp,beauty,142.3,25-10-2028
RetailCorp,furniture,193.2,24-02-2033
RetailCorp,furniture,181,04-01-2021
RetailCorp,stationery,163.5,05-11-2023
RetailCorp,sports,189.8,28-10-2017
RetailCorp,furniture,208.5,11-09-2027
RetailCorp,sports,167.9,25-08-2021
RetailCorp,clothing,238.1,08-01-2020
RetailCorp,sports,200.4,19-01-2023
RetailCorp,electronics,187.9,23-07-2029
RetailCorp,stationery,248.1,15-12-2023
RetailCorp,online,160.8,12-10-2017
RetailCorp,food,143.4,09-03-2033
RetailCorp,furniture,148.8,15-07-2021
RetailCorp,stationery,171.8,27-08-2016
RetailCorp,clothing,197.6,19-08-2023
RetailCorp,electronics,195.7,21-02-2033
RetailCorp,sports,221.3,15-12-2027
RetailCorp,clothing,287.1,10-02-2023
RetailCorp,clothing,307.6,07-07-2030
RetailCorp,clothing,203.9,28-11-2020
RetailCorp,furniture,208.2,09-11-2025
RetailCorp,stationery,201.8,26-10-2016
RetailCorp,clothing,231.8,26-07-2026
RetailCorp,stationery,238.1,03-06-2025
RetailCorp,clothing,165.7,23-12-2020
RetailCorp,furniture,230.6,25-07-2030
RetailCorp,furniture,208.6,29-01-2020
RetailCorp,toys,192.4,20-02-2030
RetailCorp,beauty,208.3,02-10-2025
RetailCorp,furniture,100.1,13-02-2018
RetailCorp,electronics,188.4,04-08-2033
RetailCorp,beauty,323.3,29-07-2032
RetailCorp,clothing,253.5,13-10-2019
RetailCorp,clothing,226.4,12-10-2030
RetailCorp,furniture,171.2,07-03-2023
RetailCorp,sports,160,12-05-2030
RetailCorp,online,232.7,12-09-2016
RetailCorp,electronics,217.4,14-09-2027
RetailCorp,electronics,204,19-04-2016
RetailCorp,toys,197.9,10-05-2022
RetailCorp,stationery,220.2,09-11-2018
RetailCorp,electronics,239.9,21-02-2018
RetailCorp,furniture,155.2,25-03-2023
RetailCorp,stationery,144.4,13-08-2021
RetailCorp,furniture,202.7,19-07-2020
RetailCorp,food,153.1,26-05-2021
RetailCorp,food,221.7,25-09-2022
RetailCorp,sports,207.3,19-01-2027
RetailCorp,stationery,94.2,25-07-2023
RetailCorp,furniture,249.6,21-10-2017
RetailCorp,sports,111.2,29-05-2022
RetailCorp,clothing,177.2,31-03-2016
RetailCorp,online,121.3,08-01-2016
RetailCorp,food,102.9,19-12-2032
RetailCorp,toys,153.4,18-01-2029
RetailCorp,clothing,226.7,22-10-2022
RetailCorp,furniture,157,20-07-2022
RetailCorp,clothing,262.2,08-05-2017
RetailCorp,sports,136.1,30-07-2025
RetailCorp,online,224.8,26-12-2028
RetailCorp,stationery,165.6,09-01-2016
RetailCorp,clothing,232.1,22-08-2022
RetailCorp,furniture,163.2,10-10-2015
RetailCorp,sports,172.8,08-05-2015
RetailCorp,clothing,172.5,28-09-2028
RetailCorp,toys,171.8,03-12-2015
RetailCorp,clothing,262,21-06-2024
RetailCorp,furniture,171.2,31-12-2025
RetailCorp,online,216.8,01-01-2020
RetailCorp,electronics,116.1,29-01-2028
RetailCorp,food,121.2,15-01-2019
RetailCorp,electronics,198.2,25-04-2031
RetailCorp,stationery,161.5,10-06-2015
RetailCorp,beauty,267.3,15-05-2025
RetailCorp,food,91.2,15-06-2027
RetailCorp,sports,209.7,24-04-2022
RetailCorp,sports,193.9,22-04-2022
RetailCorp,electronics,192.9,05-10-2015
RetailCorp,toys,98,13-09-2027
RetailCorp,food,149.8,14-11-2026
RetailCorp,electronics,228.2,15-09-2029
RetailCorp,beauty,195.3,09-07-2029
RetailCorp,clothing,156.4,27-03-2021
RetailCorp,toys,171.1,30-09-2026
RetailCorp,furniture,234.5,13-06-2023
RetailCorp,beauty,218,28-11-2017
RetailCorp,beauty,175.8,23-02-2017
RetailCorp,beauty,185.1,22-10-2024
RetailCorp,sports,130.6,25-04-2015
RetailCorp,sports,236.3,19-04-2025
RetailCorp,sports,229.8,20-09-2015
RetailCorp,clothing,137.7,08-08-2026
RetailCorp,electronics,172.5,13-07-2029
RetailCorp,clothing,197.6,11-04-2020
RetailCorp,food,178.8,27-04-2027
RetailCorp,sports,198.6,10-08-2029
RetailCorp,online,197.9,23-10-2015
RetailCorp,stationery,143.1,16-06-2025
RetailCorp,sports,253.4,04-02-2033
RetailCorp,furniture,164,18-09-2032
RetailCorp,electronics,210.3,26-04-2029
RetailCorp,sports,236.3,25-08-2032
RetailCorp,food,217.4,19-07-2031
RetailCorp,online,153.7,27-07-2018
RetailCorp,stationery,137.3,13-05-2021
RetailCorp,beauty,197.3,30-06-2024
RetailCorp,toys,231.9,04-10-2026
RetailCorp,online,125.6,23-08-2031
RetailCorp,clothing,243.1,11-02-2031
RetailCorp,furniture,240,22-09-2027
RetailCorp,clothing,226.6,16-03-2024
RetailCorp,toys,205.7,09-08-2030
RetailCorp,beauty,248.8,12-05-2032
RetailCorp,toys,65.1,23-11-2015
RetailCorp,toys,186.7,30-08-2019
RetailCorp,clothing,187.2,24-07-2030
RetailCorp,clothing,270.1,10-05-2030
RetailCorp,electronics,230.5,09-02-2018
RetailCorp,online,135.9,27-02-2022
RetailCorp,stationery,240.2,23-09-2020
RetailCorp,beauty,301.4,07-08-2027
RetailCorp,electronics,226.7,02-05-2023
RetailCorp,sports,185.8,22-09-2030
RetailCorp,toys,307.3,21-07-2033
RetailCorp,clothing,147.8,13-10-2015
RetailCorp,online,195.5,06-02-2031
RetailCorp,clothing,247.9,08-01-2025
RetailCorp,sports,179,03-06-2020
RetailCorp,toys,246.6,12-10-2026
RetailCorp,toys,213.2,23-06-2033
RetailCorp,clothing,234.9,26-06-2019
RetailCorp,online,284,31-10-2028
RetailCorp,toys,179.8,22-02-2029
RetailCorp,beauty,237.3,26-05-2026
RetailCorp,stationery,170,31-10-2028
RetailCorp,toys,250.3,27-07-2023
RetailCorp,clothing,217,17-03-2024
RetailCorp,beauty,139.9,04-06-2026
RetailCorp,clothing,211.5,10-03-2023
RetailCorp,stationery,174.3,28-09-2027
RetailCorp,electronics,123.5,15-03-2033
RetailCorp,online,204,10-10-2015
RetailCorp,furniture,242.1,27-10-2015
RetailCorp,stationery,296.9,08-10-2023
RetailCorp,toys,246.3,05-11-2024
RetailCorp,sports,206.1,19-07-2019
RetailCorp,sports,100.5,08-03-2023
RetailCorp,electronics,245.6,10-06-2030
RetailCorp,online,236.9,24-06-2028
RetailCorp,stationery,255.4,27-06-2022
RetailCorp,electronics,178.1,20-03-2032
RetailCorp,electronics,111.2,03-12-2032
RetailCorp,beauty,255.5,09-06-2015
RetailCorp,clothing,120.7,09-06-2028
RetailCorp,stationery,200.9,23-09-2032
RetailCorp,toys,257.4,24-06-2032
RetailCorp,food,243,09-02-2026
RetailCorp,beauty,280,06-08-2024
RetailCorp,online,215.6,12-10-2033
RetailCorp,online,135.8,05-06-2020
RetailCorp,beauty,149.1,11-06-2027
RetailCorp,beauty,222.4,19-04-2028
RetailCorp,toys,298.7,15-06-2030
RetailCorp,online,310,24-09-2025
RetailCorp,stationery,284.2,28-11-2022
RetailCorp,furniture,217,07-04-2015
RetailCorp,stationery,179.4,27-12-2026
RetailCorp,online,131.4,16-04-2028
RetailCorp,clothing,124.4,25-09-2029
RetailCorp,beauty,186.7,12-08-2031
RetailCorp,beauty,188.2,15-04-2027
RetailCorp,furniture,224.6,08-04-2015
RetailCorp,beauty,250.4,04-06-2030
RetailCorp,sports,216.6,21-11-2030
RetailCorp,clothing,217.7,16-04-2024
RetailCorp,food,133.1,11-01-2017
RetailCorp,clothing,230.5,08-06-2023
RetailCorp,furniture,160.2,24-04-2023
RetailCorp,beauty,221,20-02-2022
RetailCorp,stationery,176.1,18-03-2033
RetailCorp,electronics,255.2,24-03-2018
RetailCorp,food,203.8,19-04-2032
RetailCorp,beauty,119.7,23-08-2031
RetailCorp,online,143.4,29-11-2025
RetailCorp,clothing,178.4,05-06-2022
RetailCorp,beauty,204.3,14-03-2019
RetailCorp,online,191.4,25-07-2028
RetailCorp,beauty,200,08-05-2022
RetailCorp,stationery,192.1,14-03-2016
RetailCorp,clothing,217.3,29-02-2028
RetailCorp,stationery,148.2,03-09-2017
RetailCorp,online,188,28-01-2023
RetailCorp,electronics,278,03-06-2017
RetailCorp,stationery,197.8,03-10-2019
RetailCorp,toys,157.4,14-12-2016
RetailCorp,stationery,195.2,13-11-2020
RetailCorp,food,213,18-04-2023
RetailCorp,food,247.5,29-11-2027
RetailCorp,stationery,148.9,26-05-2024
RetailCorp,beauty,194,27-08-2016
RetailCorp,online,208.6,19-08-2029
RetailCorp,furniture,155,31-12-2029
RetailCorp,stationery,204.9,25-10-2018
RetailCorp,food,170,31-03-2030
RetailCorp,furniture,156.4,12-11-2028
RetailCorp,online,132.2,08-12-2020
RetailCorp,food,140.4,01-06-2032
RetailCorp,furniture,166.3,22-03-2018
RetailCorp,stationery,197,18-02-2024
RetailCorp,electronics,209.4,15-03-2019
RetailCorp,beauty,247.7,08-03-2020
RetailCorp,toys,172.2,01-06-2027
RetailCorp,online,224.3,08-03-2023
RetailCorp,toys,200.6,25-11-2026
RetailCorp,clothing,213.7,08-12-2028
RetailCorp,stationery,200.3,11-10-2033
RetailCorp,online,171.9,23-01-2019
RetailCorp,beauty,143.5,15-11-2021
RetailCorp,electronics,298,04-01-2016
RetailCorp,stationery,311.3,25-10-2028
RetailCorp,sports,222.3,19-10-2015
RetailCorp,online,196.4,19-06-2029
RetailCorp,clothing,187.6,27-12-2018
RetailCorp,beauty,157,08-12-2027
RetailCorp,furniture,195.7,07-06-2030
RetailCorp,furniture,191.9,10-07-2023
RetailCorp,toys,115.5,22-06-2024
RetailCorp,furniture,227.7,26-10-2028
RetailCorp,food,193.1,05-08-2026
RetailCorp,online,187.6,09-05-2019
RetailCorp,furniture,219.1,10-04-2022
RetailCorp,food,181.6,14-06-2030
RetailCorp,clothing,200.3,23-11-2018
RetailCorp,toys,214.4,03-05-2020
RetailCorp,toys,205.9,09-01-2017
RetailCorp,stationery,199.3,12-06-2026
RetailCorp,clothing,163.1,03-07-2024
RetailCorp,food,262.8,19-08-2015
RetailCorp,toys,137.8,31-12-2024
RetailCorp,toys,213.4,02-11-2025
RetailCorp,online,233.4,28-07-2022
RetailCorp,stationery,160.7,18-12-2030
RetailCorp,toys,111.6,06-02-2029
RetailCorp,online,226.4,05-10-2015
RetailCorp,beauty,201,13-11-2027
RetailCorp,furniture,241.7,13-12-2021
RetailCorp,beauty,124.9,13-03-2022
RetailCorp,beauty,140.1,10-12-2028
RetailCorp,online,201.8,10-12-2016
RetailCorp,electronics,174.7,09-02-2020
RetailCorp,sports,227.5,06-06-2025
RetailCorp,furniture,213.9,20-10-2026
RetailCorp,furniture,127.6,03-06-2019
RetailCorp,food,291,13-06-2028
RetailCorp,food,182.6,24-10-2031
RetailCorp,electronics,142.1,28-01-2017
RetailCorp,toys,190.8,15-10-2033
RetailCorp,stationery,183.8,25-02-2022
RetailCorp,clothing,150.6,03-11-2031
RetailCorp,online,197.1,07-09-2022
RetailCorp,beauty,176.3,18-08-2029
RetailCorp,furniture,232.6,10-11-2023
RetailCorp,toys,204.5,05-06-2018
RetailCorp,sports,202.4,21-04-2026
RetailCorp,furniture,148.9,10-03-2018
RetailCorp,toys,224.3,26-02-2027
RetailCorp,sports,234.8,14-10-2024
RetailCorp,food,236.2,30-07-2020
RetailCorp,stationery,264.6,29-01-2028
RetailCorp,online,235.4,04-11-2026
RetailCorp,beauty,112.3,01-01-2028
RetailCorp,clothing,192.1,15-06-2021
RetailCorp,electronics,261.3,05-10-2026
RetailCorp,electronics,116.9,20-10-2025
RetailCorp,beauty,160.1,11-11-2020
RetailCorp,beauty,188.4,13-05-2025
RetailCorp,sports,158.4,07-02-2027
RetailCorp,electronics,213.3,05-07-2024
RetailCorp,sports,168.6,16-04-2030
RetailCorp,beauty,169.1,13-05-2032
RetailCorp,clothing,205.2,24-12-2030
RetailCorp,furniture,263.5,02-03-2017
RetailCorp,clothing,217.5,31-05-2018
RetailCorp,clothing,262.2,14-04-2018
RetailCorp,sports,154.2,08-07-2030
RetailCorp,clothing,197.7,11-07-2021
RetailCorp,electronics,38.8,28-08-2023
RetailCorp,sports,220.8,02-06-2033
RetailCorp,electronics,167.2,23-01-2020
RetailCorp,electronics,137.3,23-04-2029
RetailCorp,food,267.1,10-09-2024
RetailCorp,clothing,242,04-05-2020
RetailCorp,sports,249.4,14-10-2027
RetailCorp,stationery,144.9,24-06-2020
RetailCorp,stationery,170.6,31-12-2031
RetailCorp,beauty,146.2,03-09-2016
RetailCorp,toys,162,21-12-2026
RetailCorp,stationery,187.6,11-08-2024
RetailCorp,toys,243.3,23-11-2033
RetailCorp,toys,240.2,05-06-2018
RetailCorp,beauty,273,17-04-2031
RetailCorp,stationery,157.1,22-07-2027
RetailCorp,clothing,248,24-08-2020
RetailCorp,furniture,177.8,13-01-2015
RetailCorp,electronics,230.1,05-06-2024
RetailCorp,sports,118.9,19-01-2018
RetailCorp,sports,270.7,30-04-2022
RetailCorp,clothing,212,03-12-2029
RetailCorp,food,252.3,13-10-2022
RetailCorp,furniture,180.1,03-09-2016
RetailCorp,food,272.2,27-10-2031
RetailCorp,clothing,264.3,05-07-2020
RetailCorp,food,234.9,14-04-2016
RetailCorp,electronics,166.6,29-11-2021
RetailCorp,food,184.3,05-06-2030
RetailCorp,beauty,243.6,20-10-2028
RetailCorp,clothing,273.7,17-02-2021
RetailCorp,toys,223.3,02-07-2025
RetailCorp,beauty,118.4,24-12-2023
RetailCorp,clothing,205,15-05-2033
RetailCorp,toys,140.7,20-09-2028
RetailCorp,stationery,107.1,24-01-2017
RetailCorp,online,166.4,23-12-2033
RetailCorp,clothing,171.1,09-03-2021
RetailCorp,clothing,122.8,04-10-2030
RetailCorp,electronics,197.8,31-08-2017
RetailCorp,furniture,196.4,23-06-2020
RetailCorp,electronics,174.2,22-05-2027
RetailCorp,electronics,159.4,26-09-2016
RetailCorp,beauty,171.9,05-02-2023
RetailCorp,electronics,222.7,22-03-2033
RetailCorp,sports,150.1,04-03-2027
RetailCorp,clothing,229.2,18-04-2021
RetailCorp,beauty,200.5,16-08-2029
RetailCorp,electronics,208.1,25-08-2021
RetailCorp,sports,212.7,21-11-2025
RetailCorp,toys,165.5,13-06-2024
RetailCorp,electronics,230.1,20-07-2025
RetailCorp,stationery,266.6,20-04-2015
RetailCorp,electronics,189.9,18-02-2032
RetailCorp,sports,212.4,18-05-2021
RetailCorp,stationery,175.9,14-09-2021
RetailCorp,food,164.9,30-01-2029
RetailCorp,furniture,290.3,18-06-2017
RetailCorp,stationery,112.1,10-10-2020
RetailCorp,stationery,167.3,25-02-2023
RetailCorp,clothing,218.8,16-11-2015
RetailCorp,clothing,246.5,04-08-2029
RetailCorp,electronics,197.9,14-10-2024
RetailCorp,food,157.7,09-05-2026
RetailCorp,sports,274.7,05-08-2020
RetailCorp,sports,166.9,07-10-2021
RetailCorp,food,232.7,07-07-2019
RetailCorp,furniture,211.1,17-08-2024
RetailCorp,beauty,191.9,27-02-2029
RetailCorp,online,275.3,12-03-2020
RetailCorp,stationery,229.1,05-02-2016
RetailCorp,stationery,150.6,17-09-2018
RetailCorp,sports,134.2,30-05-2029
RetailCorp,clothing,193.6,17-07-2032
RetailCorp,food,145,17-11-2026
RetailCorp,beauty,234.7,09-05-2033
RetailCorp,clothing,164,23-02-2030
RetailCorp,sports,187.3,16-06-2026
RetailCorp,online,190.9,23-05-2018
RetailCorp,sports,168,08-11-2016
RetailCorp,sports,219.7,12-10-2033
RetailCorp,food,178.3,18-09-2025
RetailCorp,toys,271.2,13-05-2022
RetailCorp,clothing,168.4,14-09-2019
RetailCorp,beauty,221.5,24-05-2015
RetailCorp,online,170.4,21-09-2030
RetailCorp,clothing,280.1,27-01-2030
RetailCorp,online,182.8,08-09-2028
RetailCorp,clothing,141.3,09-08-2028
RetailCorp,stationery,184,05-12-2018
RetailCorp,beauty,244.2,04-07-2021
RetailCorp,stationery,141.4,12-05-2028
RetailCorp,clothing,238.7,17-12-2026
RetailCorp,sports,164.1,28-08-2032
RetailCorp,stationery,132.9,30-01-2023
RetailCorp,sports,230.9,08-03-2027
RetailCorp,furniture,199,14-04-2020
RetailCorp,food,155.1,16-05-2028
RetailCorp,toys,233.8,20-08-2026
RetailCorp,beauty,215.1,09-08-2016
RetailCorp,sports,218.8,30-10-2017
RetailCorp,food,164.7,26-04-2033
RetailCorp,online,192.4,22-09-2027
